Name,SMILES,formula,MONOISOTOPIC_MASS,MolecularWeight,LogP,Fragpos,Fragneg,CAS,Plate_ID,DTXSID,EPA_Name,EPA_CAS
CP-728663 (pharma),CCC1CCC(C(N1)C2=CC=CC=C2)NCC3=CC4=C(C=C3OC)C5CC5C(=O)N4C,C26H33N3O2,419.2572773,419.6,1.933,"216.10191,100;0.013261,0.00590689848569826;112.11208,6.08524957936063;188.10699,11.1833987661245;188.14338,8.16601233875491;190.15903,3.23051037577117;202.08626,6.94896242288278;203.15428,3.2809871003926;204.10191,3.9820527201346;205.16993,3.2978126752664;218.11756,7.4649467190129;342.2176,3.92596747055524;361.22744,2.19854178351094;388.23834,4.6662927650028;392.23325,2.46214245653393;392.26964,5.32809871003926;402.25399,19.4335389792485;403.238,2.37240605720695;58.02874,1.69938306225463;91.05423,8.34548513740886;106.06513,2.12563095905777;119.08553,1.98541783510937;150.09134,2.12002243409983;157.06479,3.35389792484577;159.08044,4.74481211441391;160.11208,1.45821648906338;161.09609,1.37408861469434;182.06004,1.89007291082445;184.07569,10.4318564217611;186.09134,6.3768928771733;198.09134,3.26416152551879;200.0706,5.61974200785193;214.08626,4.59899046550757;326.1863,1.87885586090858;352.23834,2.49579360628155;390.25399,1.58160403813797;404.23325,2.28266965787998;418.2489,3.55580482333146","386.22379,37.31;77.03967,45.75;82.06622,2.02;91.05532,16.58;199.08769,4.48;200.0717,34.13;201.13972,37.95;203.15537,46.28;215.0826,26.16;216.103,2.06;229.09825,1.95;231.1139,3.07;237.16085,3.13;313.19215,2.26;315.2078,3.13;358.19249,4.24;360.20814,2.62;368.21322,2.05;374.1874,3.93;388.23944,3.44;390.2187,4.98;390.25509,6.52;400.23944,4.67;402.2187,21.69;416.23435,67.43;119.06147,40.5;121.07712,13.9;123.09277,41.11;125.10842,71.35;127.12407,68.5;146.06114,27.98;146.09752,37.12;148.07679,14.94;173.10842,18.87;175.12407,14.2;186.05605,27.15;186.12882,22.7;187.12407,100;195.09277,22.25;199.12407,22.87;213.06695,24.75;217.17102,15.27;229.17102,15.2;310.19249,17.19;324.17175,12.74;372.20814,12.36;400.20305,16.76",368832-42-2,EPAPLT0070,DTXSID1047283,CP-728663,368832-42-2
3-Phenoxybenzoic acid,C1=CC=C(C=C1)OC2=CC=CC(=C2)C(=O)O,C13H10O3,214.0629942,214.22,1.485,"197.05971,68.31;51.02293,26.77;65.03858,23.38;79.05423,22.43;95.04914,11.09;117.03349,57.08;119.04914,45.45;131.04914,12.58;139.03897,27.45;141.03349,40.64;143.04914,21.46;155.04914,21.37;169.06479,100;171.08044,10.87","169.06589,100;51.02402,13.0365839845962;63.02402,29.0689772341148;93.03459,56.6315551025031;117.03459,38.7133310680711;137.02442,12.5552157662249",3739-38-6,EPAPLT0070,DTXSID1038321,,
Nonafluoro-1-butanesulfonic Acid,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,C4HF9O3S,299.9502685,300.1,2.808,"218.98508,14.63;51.00408,94.09;130.9609,100;280.95132,46.72","218.98618,87.4172185430463;18.99895,100",375-73-5,EPAPLT0070,DTXSID3037707,Potassium perfluorobutanesulfonate,29420-49-3
Perfluoroheptanoic acid,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C7HF13O2,363.9768954,364.06,5.024,"346.97361,0.807232805941233;344.97794,100;194.98753,24.58831126897;218.98508,45.7055214723926;268.98189,19.0022602518566;318.97869,47.0939618986116","318.97979,100",375-85-9,EPAPLT0068,DTXSID1037303,,
Perfluorononanoic acid,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,C9HF17O2,463.970508,464.08,6.786,"446.96722,0.633874239350913;444.97156,100;51.00408,13.8184584178499;294.98114,13.907200811359;318.97869,37.5633874239351;368.9755,15.5679513184584;418.97231,38.5902636916836;420.98796,14.2494929006085","418.9734,100",375-95-1,EPAPLT0063,DTXSID8031863,,
FD&C Blue no. 1,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[Na+].[Na+],C37H34N2Na2O9S3,792.1221828,792.9,-0.036,"613.14375,22.3824097938144;725.10565,75.3141108247423;743.11621,73.0267396907217;753.13695,72.986469072165;585.11245,75.4993556701031;609.11245,38.5631443298969;651.16181,13.5309278350515;661.14375,100;675.1594,80.5412371134021;689.17505,26.9490979381443;755.11621,65.1659149484536;101.03617,12.926868556701;115.05182,13.9416881443299;130.06513,13.4745489690722;132.08078,41.9700386597938;376.10019,28.7693298969072;378.11584,16.3659793814433;559.0992,34.1897551546392;563.13051,16.003543814433;583.0968,20.0869845360825;599.1281,10.4542525773196;637.14616,11.7751288659794;659.1281,12.2181056701031;663.1594,13.0235180412371;685.14375,19.4265463917526;713.06926,11.8637242268041","0,100;",3844-45-9,EPAPLT0065,DTXSID2020189,FD&C Blue No. 1,3844-45-9
"N-[3-(Dimethylamino)propyl]-N,N,N-trimethylpropane-1,3-diamine",CN(C)CCCN(C)CCCN(C)C,C11H27N3,201.2204979,201.35,0.485,"86.09643,100;157.16993,7.89981685888234;58.06513,28.7135573924665;60.08078,5.74172152650597;72.08078,18.4725040835519;84.08078,5.1823986536653","44.05057,26.48;115.12407,49.93;30.03492,33.54;97.07712,67.38;99.09277,100;101.10842,19.39;113.10842,47.24;127.12407,20.02",3855-32-1,EPAPLT0063,DTXSID1044564,"2,6,10-Trimethyl-2,6,10-triazaundecane",3855-32-1
Fenpropathrin,CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,C22H23NO3,349.1677936,349.4,3.628,"41.03858,32.0562293274531;43.05423,24.5511104110884;55.05423,40.6126949125847;83.04914,39.7031028508427;97.10118,13.6163175303197;123.08044,3.62261773507639;125.09609,9.34792880768625;208.07569,100;310.14377,4.0163805323673;323.16417,16.2151519924398;81.06988,24.393605292172;83.08553,18.2469680264609;148.0393,14.7661048984092;199.07536,22.7949283351709;224.0706,25.3977004252638;226.08626,46.1529374704678;250.08626,6.69002992597259;266.08117,11.1868010710348;268.09682,3.89431406520712;292.13321,4.28413923452512;306.11247,5.53236730193731;308.12812,8.96597889431406;330.14886,5.81981414395968;348.15942,14.4510946605765;57.06988,13.9037643723421;67.05423,12.9626712868168;79.05423,13.5139392030241;85.06479,5.73318632855568;90.03383,15.8253268231218;99.04406,6.75696960151205;156.04439,19.9047094030556;158.06004,20.5150417388565;180.04439,8.69822019215625;182.06004,9.80469365254371;288.10191,22.964246338006;290.08117,5.7843754922035","197.0608,50.8505154639175;0.010834,0.00473419243986254;81.07097,100;97.10227,83.0326460481099;123.08154,18.7113402061856;146.02475,55.1116838487972;222.05605,47.7491408934708;224.0717,21.5463917525773;80.01419,6.51202749140893;93.03459,35.6701030927835;109.06589,14.3298969072165;117.03459,6.34020618556701;296.12922,11.6494845360825;298.14487,7.35395189003436",39515-41-8,EPAPLT0064,DTXSID0024002,,
UK-416244 pharma,CC1=C(C=CC(=C1)OC2=C(C=C(C=C2)S(=O)(=O)N)CN(C)C)SC,C17H22N2O3S2,366.1071849,366.5,0.739,"322.05661,87.6662849088186;44.04948,4.84538807153555;243.08381,100;276.06889,60.3559157783455;286.12601,6.78354330014977;304.10019,4.17584353801427;307.04571,2.71341732005991;319.11109,46.2514315919302;350.08791,27.6891903797022;351.08316,36.0673068452119;44.97935,19.3551228966611;46.995,29.1868557836314;58.06513,28.0415822394503;65.03858,26.5351070390274;91.05423,58.1975156373888;93.06988,23.9009778874108;122.09643,88.09796493701;123.0263,28.904942295833;134.09643,61.1399876662849;150.09134,29.0723284292133;155.05251,22.6499867853053;186.02194,37.0099550700379;210.02194,28.2970663377676;213.06923,25.4691216632896;219.08381,27.7596687516518;231.07979,68.9190379702229;236.03759,40.7629283763545;240.13829,39.0714474495639;253.06414,18.8793938860012;255.07979,54.0392916923619;262.12601,33.2746013567087;272.11036,19.918949872258;278.08454,25.6100784071888;279.07979,23.5045370451943;281.09544,23.4340586732446;306.02531,19.5136992335477;365.09881,23.1961941679147","46.99609,100;77.96552,94.9198100528626;79.98117,90.5384822148553;153.03796,33.2228294955649;186.02304,3.08216109667593;191.05361,3.13591972045516;234.09581,10.6083684257683;258.09581,3.38679329809157;260.11146,5.50129916674133;262.12711,3.05528178478631;276.06999,3.14487949108503;286.12711,3.61078756383837;319.11219,5.34002329540364;322.05771,25.9295762028492;44.98044,14.9359376399964;66.03492,23.5193979034137;68.05057,55.873129647881;103.98117,8.26090852074187;137.00666,33.428904220052;177.03796,49.7446465370487;188.10809,7.93835677806648;203.05361,14.7746617686587;213.03394,26.0102141385181;214.12374,7.92939700743661;215.05361,19.2635068542245;217.06926,34.9879043096497;253.06524,33.0973927067467;255.08089,14.2818743840158;262.05434,10.9309201684437;292.01076,9.47047755577457;303.08089,67.619388943643;305.09654,21.2436161634262;306.02641,8.58346026341726;308.04206,8.01899471373533;349.06861,9.85574769285906;363.08426,19.5412597437506",402910-27-4,EPAPLT0062,DTXSID0047290,UK-416244,402910-27-4
Pendimethalin,CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-],C13H19N3O4,281.1375561,281.31,5.109,"164.05803,25.6761085434494;211.05876,100;193.04819,8.2093991671624;196.07167,68.4253878186061;212.06658,57.7998444149545;262.11862,9.5135679311765;70.06513,18.9173111243308;79.05423,14.6936347412255;87.0189,19.3016977074086;94.06513,11.6917585686176;96.08078,14.972772617032;98.09643,10.8085846336887;99.0189,9.48611174667094;111.0189,10.1130279595479;113.03455,23.0082826156592;122.02365,17.0091063011943;123.0189,8.44735276621059;124.0393,21.8917311124331;125.04713,8.01262984487256;126.04238,11.8336155218963;126.05495,23.8228160893241;149.04713,10.1999725438155;150.05495,12.2042740127214;157.09715,14.3595844964078;165.06585,34.4529355237267;166.07368,10.8772250949526;167.0815,45.7603075092665;184.04786,8.87292362604677;205.09715,21.3105752070654;214.08223,44.1907289616986;254.11353,9.89337848350341;256.12918,10.0215073445294;280.12918,8.51599322747449","0,100;",40487-42-1,EPAPLT0064,DTXSID7024245,,
Isophorone diisocyanate,CC1(CC(CC(C1)(C)CN=C=O)N=C=O)C,C12H18N2O2,222.1368278,222.28,5.964,"137.13248,67.585;180.13829,72.155;44.01309,34.49;56.01309,71.815;58.02874,16.225;95.08553,13.225;121.10118,100;123.11683,43.53;125.13248,25.32;148.07569,35.445;162.09134,48.345;164.10699,41.665;178.12264,8.075;195.14919,4.455;205.13354,4.535;41.03858,6.12;42.03383,6.18;55.05423,30.4;57.06988,8.245;68.01309,5.96;79.05423,8.95;82.02874,11.44;82.06513,5.91;96.04439,8.56;97.10118,18.57;98.06004,7.52;106.02874,8.235;108.04439,15.57;110.09643,6.625;111.11683,5.865;120.04439,16.03;122.06004,23.71;124.07569,16;126.09134,15.875;152.10699,9.45;0.016988,0.006879;221.12845,14.58","193.13464,55.175;41.99854,100;165.13972,16.205;56.01419,3.255;68.05057,2.765;96.04549,3.48;162.09244,8.335;178.12374,3.67;191.11899,2.22",4098-71-9,EPAPLT0064,DTXSID0023826,,
Profenofos,CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl,C11H15BrClO3PS,371.93514,373.63,3.546,"302.86417,100;344.91112,36.005076142132;284.8536,57.3147208121827;330.89547,8.06091370558376;39.02293,2.91370558375635;41.03858,48.1269035532995;43.05423,46.7309644670051;44.97935,9.10152284263959;46.995,7.73604060913706;75.0263,7.24365482233503;112.97887,6.16751269035533;158.98039,5.44162436548223;178.92577,7.76649746192893;188.91012,9.20304568527919;190.92577,15.3604060913706;192.94142,3.34517766497462;202.99263,2.88832487309645;206.92068,17.5126903553299;208.93633,2.93401015228426;252.88153,10.2335025380711;268.87645,24.010152284264;270.8921,7.12182741116751;286.86925,13.8375634517766;296.90775,7.34010152284264;298.86925,3.0761421319797;298.9234,7.04568527918782;300.84852,2.84263959390863;300.8849,4.3502538071066;332.91112,3.90862944162437","294.89319,26.6599597585513;73.01174,7.7576570534317;75.02739,26.5146434160519;90.99544,33.7860496311201;106.99035,36.7203219315895;138.96243,8.39481332439079;204.90613,100;252.88263,9.69707131678963;266.86189,22.5240330874134;268.87754,8.19360608093002;296.90884,9.93181310082718;300.84961,10.4851330203443;302.95579,13.2126089872569;326.86527,19.9474625530964;328.88092,17.7118265146434;68.98044,7.7576570534317;70.99609,16.0965794768612;78.91889,3.86206125642745;88.97979,11.0440420299575;136.98316,13.9950816007154",41198-08-7,EPAPLT0060,DTXSID3032464,,
Methyldopa sesquihydrate,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,C10H13NO4,211.084459,211.08,-2.988,"123.04406,100;149.05971,67.5175686227401;151.07536,23.9233587602859;166.08626,72.3587002222356;194.08117,7.88635954111358;195.06519,25.3768995134843;44.04948,24.9864856748153;56.04948,13.5803952189321;58.06513,21.3826656255631;86.06004,7.82028950687729;105.03349,23.2326265841792;107.04914,26.992612168899;108.04439,4.17442489038381;109.02841,4.30656495885639;125.05971,6.34872965343264;138.09134,11.8445552285423;148.07569,26.6862874647126;150.09134,19.7068893026608;168.10191,4.92522073397802;177.05462,6.46885698840771;184.09682,9.77836506697099;51.02293,12.8295993753379;65.03858,60.0636674875368;67.05423,29.2570124331792;93.03349,54.9102048171061;94.06513,6.31869781968887;95.04914,43.4560634272329;121.02841,13.5563697519371;154.08626,8.02450597633491","123.04515,46.0425737784228;149.0608,100;166.08735,32.7672955974843;42.03492,10.9724238026125;56.05057,1.48040638606676;109.0295,48.3792936623125;121.0295,5.10401548137397;150.05605,5.29269472665699",41372-08-1,EPAPLT0060,DTXSID5020863,,
"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]",C=CCC1=C(C=CC(=C1)S(=O)(=O)C2=CC(=C(C=C2)O)CC=C)O,C18H18O4S,330.0925802,330.4,2.406,"133.06479,79.6849723286505;105.03349,40.0595998297148;105.06988,61.796509152831;107.04914,87.9863771817795;115.05423,30.0297999148574;135.08044,5.69604086845466;251.07364,7.16900808854832;263.03726,4.9127288207748;287.07364,7.84163473818646;291.06856,8.93997445721584;303.06856,8.88037462750106;305.08421,5.9514687100894;313.08929,8.64197530864197;315.06856,12.813963388676;329.08421,100;39.02293,11.3750532141337;51.02293,38.8676032354193;53.03858,9.06768837803321;65.03858,35.1979565772669;67.05423,29.0166028097063;77.03858,13.1204767986377;79.05423,11.4601958280119;91.05423,18.4333759046403;93.06988,11.3835674755215;101.03858,13.8697318007663;103.05423,15.0361856108983;109.06479,24.367816091954;117.03349,10.7705406555981;117.06988,85.1426138782461;119.04914,31.5112813963389;119.08553,8.23329076202639;121.06479,22.2392507449979;129.03349,10.0212856534696;131.04914,9.31460195828012;197.02669,8.32694763729246;235.04234,14.8403575989783;237.05799,20.6215410813112","131.05024,45.38;197.02779,23.48;285.05909,44.18;289.054,8.63;299.03835,7.39;303.06965,11.35;311.07474,12.3;327.06965,64.47;41.00329,23.23;55.01894,16.8;65.03967,22.64;105.03459,23.79;107.05024,100;115.05532,18.61;133.06589,77.89;141.00157,20.83;143.01722,22.14;168.99649,17.21;209.02779,37.5;211.04344,35.61;219.01214,20.55;221.02779,39.49;235.04344,24.13;247.04344,60.84;249.0227,20.62;249.05909,47.68;257.02779,31.81;259.04344,95;261.05909,25.75;263.03835,72.02;265.054,34.39;273.05909,50.5;275.07474,35.77;297.05909,25.23;313.054,18.33",41481-66-7,EPAPLT0070,DTXSID9047598,,
Sulfluramid,CCNS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C10H6F17NO2S,526.9847784,527.2,7.01,"482.93421,6.83890577507599;507.98583,100;51.00408,21.2917933130699;101.00089,23.3738601823708;108.01138,12.2188449848024;114.96598,17.4316109422492;138.00195,46.2765957446808;158.00818,45.8814589665654;218.98508,11.2006079027356;221.00073,12.8571428571429;268.98189,12.4620060790274;318.97869,25.8966565349544;320.99434,21.6565349544073;357.99541,16.2613981762918;368.9755,19.0121580547112;370.99115,17.629179331307;407.99221,13.7993920972644;418.97231,32.90273556231;420.98796,28.161094224924;457.98902,13.6170212765957;511.96076,28.1306990881459;525.97641,11.7629179331307","482.9353,100",4151-50-2,EPAPLT0063,DTXSID1032646,N-Ethylperfluorooctanesulfonamide,4151-50-2
(E)-Anethole,CC=CC1=CC=C(C=C1)OC,C10H12O,148.088815,148.2,2.646,"121.06479,100;41.03858,9.50258863621469;77.03858,86.4932171177665;79.05423,45.7303886231077;89.03858,29.3269545841798;91.05423,53.3586735696966;93.06988,9.5943377678747;105.06988,8.91932629923324;117.06988,19.5294580247723;123.08044,15.7480830984992;147.08044,43.1679664460318;39.02293,13.9655285405335;51.02293,28.2325185136641;63.02293,14.5422373681106;65.03858,36.8897044367259;67.05423,23.2780654040239;75.02293,23.0814601218953","121.06589,6.14719348821435;115.05532,5.79955909784636;131.05024,100;49.00837,6.52874342886213;63.02402,26.3523825674072;73.00837,9.66593182974394;75.02402,15.1432931999322;77.03967,8.30930981855181;89.03967,9.2250296761065;103.05532,7.87688655248431;105.03459,51.1616075970833;129.03459,26.7339325080549",4180-23-8,EPAPLT0060,DTXSID9020087,,
Cyanamide,C(#N)N,CH2N2,42.02179807,42.04,-0.565,"26.00253,100","0,100;",420-04-2,EPAPLT0065,DTXSID9034490,,
Isazofos,CCOP(=S)(OCC)OC1=NN(C(=N1)Cl)C(C)C,C9H17ClN3O3PS,313.0416773,313.74,3.74,"286.01765,100;119.99592,46.5508298755187;142.99263,26.7289073305671;162.04287,76.9623098201936;171.02393,7.68499308437068;268.00709,11.3329875518672;43.02907,8.80013831258644;43.05423,10.4771784232365;58.06513,22.6141078838174;63.99485,17.8163900414938;70.06513,32.5466804979253;75.99485,7.63312586445366;101.07094,9.79426002766252;102.0105,35.2178423236515;104.001,8.80878284923928;104.02615,29.3654910096819;106.0418,27.4809820193638;117.0214,86.4453665283541;117.98027,74.7060857538036;119.03705,52.3513139695712;124.98206,7.15767634854772;126.06619,8.40248962655602;132.0323,8.54080221300138;142.01665,7.55532503457815;144.0323,9.34474412171508;145.01632,10.9526279391425;146.01157,7.47752420470263;153.01336,32.9443291839557;160.02722,15.3699861687414;167.98788,7.97026279391425;194.00353,14.1511065006916;209.01443,7.96161825726141;213.9489,19.8132780082988;255.9707,10.7278699861687;312.0333,7.12309820193638","138.96243,97.4688695369089;142.01775,28.1435663709612;34.9694,89.9324489297632;106.9726,31.9850248229836;122.96751,100;140.97808,36.5264100268577;169.00938,20.8187515260031;237.96124,7.84569056726621;253.95615,8.62700415072841;255.9718,7.81313583462196;265.99254,9.07463172458696;268.00819,7.78871978513876;281.98745,28.3877268657931;284.0031,40.8887442011882;124.98316,6.29120208350289;149.97841,5.3471148368194;150.96243,3.78448766989501;163.95767,10.7593391389273;165.97332,11.7034263856108",42509-80-8,EPAPLT0063,DTXSID7034676,,
Oxyfluorfen,CCOC1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-],C15H11ClF3NO4,361.03287,361.7,4.078,"334.00885,27.96;165.04204,4;181.03696,5.01;315.03942,6.21;317.00611,48.97;318.01393,9.5;335.01667,7.49;341.02609,23.6;343.02176,4.46;361.03232,19.72;39.02293,15.55;87.03148,12.92;139.02639,17.88;140.03422,15.12;155.02131,16.62;218.9819,28.12;219.98973,14.39;220.99755,26.24;232.99755,26.24;244.99755,14.21;245.96899,19.93;246.97682,12.53;247.0132,21.92;247.98464,13.39;248.99247,14.79;258.00538,12.5;259.0132,20.29;262.00029,21.03;263.00812,17.42;265.01364,14.53;266.02146,14.28;269.96899,12.02;270.97682,20.33;271.98464,36.72;272.99247,41.2;274.00029,14.46;275.00812,15.75;289.02377,23.53;305.00611,37.66;331.9932,100","0,100;",42874-03-3,EPAPLT0066,DTXSID7024241,,
Cladribine,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,C10H12ClN5O3,285.062867,285.69,-0.82,"170.0228,100;134.04612,31.7866666666667;107.03522,3.41333333333333;109.05087,2.99333333333333;143.0119,2.36333333333333;168.00715,1.92","132.03157,100;168.00825,74.4368724964886;34.9694,12.334183009936;134.04722,6.20090516568694;165.9926,7.12687925922072;194.0239,2.41897726681579;41.01452,4.26052125058524;105.02067,6.6222753992613;107.03632,5.39978151173074;140.99735,3.85995942360714;223.08366,4.02642667637726",4291-63-8,EPAPLT0065,DTXSID8022828,,
Triadimefon,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl,C14H16ClN3O2,293.0931045,293.75,1.797,"225.06768,21.27;57.06988,51.815;70.03997,100;71.04914,3.655;82.03997,1.73;110.9996,2.75;113.01525,5.635;207.05712,1.39;240.07858,1.495;267.08948,6.935","68.02542,100;126.99562,2.91666666666667",43121-43-3,EPAPLT0065,DTXSID3023897,,
Difenzoquat metilsulfate,CN1C(=CC(=[N+]1C)C2=CC=CC=C2)C3=CC=CC=C3,C17H17N2,248.131348,249.33,0.665,"220.11208,5.41333333333333;249.13862,100;118.06513,3.51333333333333;191.08553,23.6066666666667;222.12773,4.29666666666667;91.05423,23.03;132.08078,11.1166666666667;185.10732,11.1466666666667;197.10732,13.2766666666667;199.12297,14.5833333333333;206.09643,7.45333333333333;221.10732,8.01666666666667;223.12297,11.0766666666667;233.10732,10.6533333333333","0,100;",43222-48-6,EPAPLT0063,DTXSID6024048,,
SAR150640 pharma  free base,CCOC(=O)C1=CC=C(C=C1)[C@H]1CC[C@@H](CC1)NC[C@H](O)COC1=CC=C(O)C(NS(C)(=O)=O)=C1,C25H34N2O7S,506.2086726,506.6,2.778,"355.20162,13.7331305835393;425.2071,3.43090667173541;427.22275,13.0868656149021;433.17917,12.3265538870937;435.19482,7.98327314198822;461.17408,100;489.20538,37.9395552176392;124.0393,4.75194829880251;138.05495,20.7375023759742;216.13829,54.0486599505797;232.16959,56.9378445162517;258.14886,29.8327314198822;260.16451,72.3721725907622;276.15942,4.64740543622885;288.19581,20.7755179623646;290.17507,4.02965215738453;304.19072,13.8756890325033;357.14787,4.28625736551986;366.16998,31.2773237027181;368.18563,4.20072229614142;379.16523,13.4575175822087;381.18088,12.2220110245201;383.19653,39.3841475004752;385.21218,5.81638471773427;397.1758,4.40030412469112;399.19145,6.27257175441931;443.16352,20.8895647215358;445.17917,21.6023569663562;463.18973,5.62630678578217;471.19482,4.24824177912944;479.18465,33.7008173351074;505.2003,3.94411708800608;0.61065,0.562592662991827;110.09643,26.154723436609;112.11208,37.511879870747;114.12773,20.7755179623646;117.03349,14.7215358296902;151.07536,19.321421782931;155.08553,14.4649306215548;159.11683,17.5822087055693;184.11208,13.6095799277704;185.09609,15.6434137996579;186.12773,64.4079072419692;188.14338,95.0389659760502;190.15903,18.2854970537921;202.12264,15.7099410758411;214.12264,43.3852879680669;218.15394,13.4480136856111;227.10666,18.1334347082304;232.13321,15.8429956282076;242.15394,13.5145409617943;246.14886,14.3984033453716;262.18016,15.1777228663752;338.17507,24.2159285306976;477.169,25.7840714693024","487.19083,10.8202585155678;76.97027,35.7369319567515;78.98592,100;93.99682,14.6085684090724;122.02475,72.9940655231282;124.0404,74.6362084383383;186.02304,3.69888626940899;200.0023,12.0478009917893;202.01795,97.6505975123974;208.0649,3.86960409722787;246.14995,3.58507438419641;302.17617,3.75579221201528;320.18673,4.69067555483294;433.18027,6.64173644419153;435.19592,2.75587350621901;459.15953,5.87757092919275;461.17518,4.69880497520527;475.15445,8.51150312982684;477.1701,6.04828875701162;489.1701,4.59312251036501;503.18575,6.64986586456386;107.01385,22.2177058775709;117.99682,7.44654906105195;126.05605,10.1129989431754;216.13939,9.3569628485489;260.12922,7.08072514429721",433212-41-0,EPAPLT0061,DTXSID4047389,SAR 150640,433212-21-6
